    2Theta     d (A)    Height      Area     FWHM
    26,842   1,71825     418,6    2441,3    0,0300          
    26,979   1,70974    1239,1    8629,9    0,0350          
    27,043   1,70572     167,4     766,5    0,0250          
    27,096   1,70245     312,4    1858,2    0,0300          
    27,153   1,69894     792,4    3890,7    0,0250          
    27,283   1,69099     580,6    2865,8    0,0250          
    27,356   1,68658     157,8     832,1    0,0300          
    27,490   1,67854     136,8    1093,7    0,0400          
    27,604   1,67173     448,4    2667,7    0,0300          
    27,719   1,66495     431,2    2022,5    0,0250          
    27,755   1,66281     499,8    3498,8    0,0350          
    27,854   1,65699     986,8   10005,8    0,0550          
    27,874   1,65585     882,4    9667,1    0,0550          
    27,940   1,65202     510,4    3062,2    0,0300          
    27,991   1,64904     671,4    3809,0    0,0300          
    28,048   1,64579     346,9    1656,3    0,0250          
    28,080   1,64395     425,5    1782,8    0,0250          
    28,126   1,64133     235,2    1319,7    0,0300          
    28,175   1,63852     450,3    2701,9    0,0300          
    28,455   1,62272     120,7     724,4    0,0300          
    28,688   1,60983     504,4    3449,2    0,0350          
    28,797   1,60383      11,5    1016,3    0,0200          
    28,788   1,60434     121,8     603,3    0,0250          
    28,841   1,60146     273,8    1911,7    0,0350          
    28,892   1,59867     756,9    5204,7    0,0350          
    28,966   1,59468     269,8    1336,0    0,0250          
    29,013   1,59216     554,3    3267,7    0,0300          
    29,079   1,58863     423,7    2521,4    0,0300          
    29,155   1,58456     154,9     929,3    0,0300          
    29,236   1,58026     528,7    2961,9    0,0300          
    29,516   1,56561     360,3    1974,6    0,0300          
    29,707   1,55577     509,8    3431,9    0,0350          
    29,765   1,55282     279,5    1397,2    0,0250          
    29,832   1,54939     531,3    3063,8    0,0300          
    29,877   1,54710     335,2    1942,7    0,0300          
    30,020   1,53991     592,3    5330,1    0,0450          
    30,189   1,53149    1572,7    9406,7    0,0300          
    30,340   1,52406     260,2    1301,0    0,0250          
    30,399   1,52117     261,3    1406,2    0,0300          
    30,487   1,51686     433,9    2536,1    0,0300          
    30,521   1,51522     524,5    2608,8    0,0250          
    30,546   1,51400     315,9    1349,3    0,0250          
    30,718   1,50572     356,6    2396,4    0,0350          
    30,764   1,50355     831,9    4958,9    0,0300          
    30,861   1,49895     321,8    1604,1    0,0250          
    31,012   1,49181     550,8    3247,7    0,0300          
    31,043   1,49038     379,0    1473,4    0,0200          
    31,132   1,48618     362,3    2133,8    0,0300          
    31,181   1,48392     174,2     958,8    0,0300          
    31,389   1,47433     200,7    1172,5    0,0300          
    31,431   1,47242     325,0    1126,0    0,0200          
    31,461   1,47106     994,4    5955,7    0,0300          
    31,496   1,46947     229,3     859,1    0,0200          
    31,557   1,46667     925,7    6285,7    0,0350          
    32,006   1,44663     171,1     895,3    0,0300          
    32,057   1,44438     257,0    1485,0    0,0300          
    32,207   1,43785     181,1    1800,4    0,0500          
    32,270   1,43510     200,1    1199,9    0,0300          
    32,390   1,42992     155,2     665,9    0,0250          
    32,433   1,42811     361,6    1582,6    0,0250          
    32,529   1,42401     184,1    1113,5    0,0350          
    32,631   1,41964     324,1    1928,0    0,0300          
    32,674   1,41784    1100,7    6567,7    0,0300          
    32,785   1,41318    1424,1    8543,8    0,0300          
    32,950   1,40630     510,6    1767,0    0,0200          
    32,974   1,40528    1162,6    6967,1    0,0300          
    33,010   1,40382     681,1    3403,2    0,0250          
    33,056   1,40192     357,6    1992,1    0,0300          
    33,154   1,39786     340,2    3396,9    0,0500          
    33,374   1,38894     420,7    2500,1    0,0300          
    33,523   1,38293     607,1    6576,1    0,0550          
    33,604   1,37967     363,6    1579,3    0,0250          
    33,826   1,37088     274,4    1042,4    0,0250          
    33,831   1,37071     459,0    2290,4    0,0250          
    33,864   1,36941     334,8    1658,8    0,0250          
    33,912   1,36751     205,7     593,3    0,0200          
    33,952   1,36597     419,4    1651,4    0,0200          
    33,988   1,36454     697,5    3282,6    0,0250          
    34,033   1,36281     230,4    1551,0    0,0400          
    34,149   1,35830     448,4    2763,4    0,0350          
    34,233   1,35507     554,2    3275,8    0,0300          
    34,324   1,35158     445,0    3353,5    0,0400          
    34,406   1,34848     699,3    4881,9    0,0350          
    34,475   1,34586     146,9     734,0    0,0250          
    34,590   1,34151     481,9    2891,0    0,0300          
    34,609   1,34079     281,5    1143,1    0,0250          
    34,762   1,33506     279,8    1348,3    0,0250          
    34,810   1,33328     195,6    1202,5    0,0400          
    35,002   1,32621     264,6    1241,2    0,0250          
    35,040   1,32482     717,0    6137,4    0,0450          
    35,322   1,31455     428,0    1459,3    0,0250          
    35,306   1,31515     527,1    3733,1    0,0400          
    35,366   1,31298     215,2    1494,7    0,0350          
    35,422   1,31099     202,0    1184,2    0,0300          
    35,528   1,30721     327,2    1866,8    0,0300          
    35,611   1,30425     184,1     779,4    0,0250          
    35,745   1,29952    1628,1   12543,1    0,0450          
    35,873   1,29501     581,5    3776,8    0,0350          
    35,979   1,29132     394,5    2360,8    0,0300          
    36,056   1,28865     225,4    1382,1    0,0350          
    36,231   1,28266     178,8     733,4    0,0250          
    36,447   1,27531     285,9    1686,0    0,0300          
    36,734   1,26568     121,2     847,0    0,0350          
    36,811   1,26313     933,1    7162,5    0,0400          
    36,911   1,25982     641,6    3540,1    0,0350          
    36,954   1,25840     471,2    2495,7    0,0300          
    36,978   1,25761     317,9    1308,7    0,0200          
    37,054   1,25512     179,1     892,6    0,0250          
    37,130   1,25265     681,0    5633,5    0,0450          
    37,170   1,25136     147,3     646,1    0,0250          
    37,229   1,24943     173,6     565,9    0,0200          
    37,266   1,24825     305,6    1518,6    0,0250          
    37,299   1,24717     463,4    2144,6    0,0250          
    37,330   1,24619     419,8    2095,8    0,0250          
    37,396   1,24404     631,9    4029,9    0,0350          
    37,523   1,23999     574,5    3201,1    0,0300          
    37,579   1,23820     750,0    4493,6    0,0300          
    37,654   1,23584     267,3    1341,1    0,0300          
    37,722   1,23369     182,7     912,6    0,0300          
    37,775   1,23204     287,2     922,2    0,0200          
    37,811   1,23091     479,6    3023,5    0,0350          
    37,890   1,22842     352,6    2115,3    0,0300          
    37,962   1,22619     492,6    3410,1    0,0350          
    38,020   1,22438     216,7    1300,3    0,0300          
    38,065   1,22299     233,5    1289,7    0,0400          
    38,158   1,22013     183,7     879,9    0,0250          
    38,200   1,21881     266,5     977,5    0,0200          
    38,225   1,21807     352,8    2014,4    0,0300          
    38,283   1,21626     159,8     943,7    0,0300          
    38,420   1,21211     189,7     758,6    0,0200          
    38,454   1,21107     281,3    1649,7    0,0300          
    38,509   1,20942     154,6     758,0    0,0250          
    38,571   1,20754     323,5    2234,1    0,0400          
    38,664   1,20473     211,8    1267,5    0,0300          
    38,724   1,20294     159,7     953,2    0,0300          
    38,799   1,20070     149,0     892,1    0,0300          
    38,912   1,19736     472,6    2729,8    0,0300          
    38,951   1,19621     317,6    2856,5    0,0450          
    38,965   1,19578     289,5    2526,0    0,0450          
    39,017   1,19428     433,5    2580,5    0,0300          
    39,084   1,19231     624,6    3731,1    0,0300          
    39,157   1,19017     239,6     970,3    0,0200          
    39,179   1,18952     446,0    3923,0    0,0450          
    39,247   1,18754     360,6    2364,4    0,0350          
    39,311   1,18567     511,6    3300,6    0,0350          
    39,455   1,18154     312,3    2496,8    0,0400          
    39,524   1,17953     187,2    1308,5    0,0350          
    39,611   1,17707     208,3    1039,6    0,0250          
    39,981   1,16661     683,0    3237,5    0,0300          
    40,014   1,16569     403,5    1872,3    0,0250          
    40,116   1,16283     713,0    4248,1    0,0300          
    40,175   1,16120     516,8    3100,6    0,0300          
    40,220   1,15997     464,1    2318,2    0,0250          
    40,256   1,15895     370,4    1812,4    0,0250          
    40,313   1,15739     220,7     991,7    0,0300          
    40,340   1,15663     223,3    1456,9    0,0350          
    40,459   1,15338     149,5     643,5    0,0250          
    40,514   1,15188     146,7     878,9    0,0300          
    40,591   1,14979     134,8     605,9    0,0250          
    40,633   1,14865     223,2    1290,2    0,0300          
    40,715   1,14645     120,9     724,4    0,0300          
